word,POS,NEG,value,prop
결혼식,1.0,0.0,POS,1.0
겹치,1.0,0.0,POS,1.0
경각심,0.0,1.0,NEG,1.0
경고,0.0,1.0,NEG,1.0
경보,1.0,0.0,POS,1.0
경색,0.0,0.0,NEUT,1.0
경우,0.0,0.333333333,NEUT,0.666666667
경쟁,0.5,0.5,NEG,0.5
경제,0.4,0.4,NEG,0.4
경제력,1.0,0.0,POS,1.0
경주,1.0,0.0,POS,1.0
경지,0.0,1.0,NEG,1.0
경직,1.0,0.0,POS,1.0
경향,0.333333333,0.333333333,NEG,0.333333333
경험,1.0,0.0,POS,1.0
곁,1.0,0.0,POS,1.0
곁들이,0.0,0.0,NEUT,1.0
계,1.0,0.0,POS,1.0
계기,1.0,0.0,POS,1.0
계속,0.0,1.0,NEG,1.0
계통,0.0,0.0,NEUT,1.0
계획,1.0,0.0,POS,1.0
고,1.0,0.0,POS,1.0
고갈,0.0,1.0,NEG,1.0
고개,0.5,0.5,NEG,0.5
고객,0.666666667,0.333333333,POS,0.666666667
고구려,1.0,0.0,POS,1.0
고급,0.0,1.0,NEG,1.0
고기,0.0,0.0,NEUT,1.0
고달프,1.0,0.0,POS,1.0
고대,1.0,0.0,POS,1.0
고도,0.0,0.0,COMP,1.0
고독,0.0,1.0,NEG,1.0
고되,0.0,1.0,NEG,1.0
고루,1.0,0.0,POS,1.0
고르,0.0,1.0,NEG,1.0
고리타분,0.0,1.0,NEG,1.0
고립,0.0,1.0,NEG,1.0
고립무원,0.0,1.0,NEG,1.0
고마움,1.0,0.0,POS,1.0
고무,0.5,0.5,NEG,0.5
고민,0.25,0.75,NEG,0.75
고발,0.0,1.0,NEG,1.0
고백,0.0,0.0,None,1.0
고비,1.0,0.0,POS,1.0
고삐,0.0,1.0,NEG,1.0
고심,0.0,1.0,NEG,1.0
고액,1.0,0.0,POS,1.0
고양,1.0,0.0,POS,1.0
고유,1.0,0.0,POS,1.0
고육지책,0.0,1.0,NEG,1.0
고육책,0.0,1.0,NEG,1.0
고이,0.0,1.0,NEG,1.0
고자,0.4,0.0,None,0.6
고장,0.0,1.0,NEG,1.0
고조,0.5,0.5,NEG,0.5
고질,0.0,1.0,NEG,1.0
고질병,0.0,1.0,NEG,1.0
고집,0.5,0.5,NEG,0.5
고충,1.0,0.0,POS,1.0
고층,0.0,1.0,NEG,1.0
